,2009-06-22T08:00:26Z,5,6,36761,
,2009-06-22T08:01:15Z,2,3,1613,
,2009-07-01T08:00:27Z,10,8,8757,
,2009-07-01T08:07:45Z,2,2,11572,
,2009-07-01T08:09:07Z,15,5,8447,
,2009-07-01T08:09:43Z,13,22,163757,
,2009-07-01T08:14:25Z,3,2,6968,
,2009-07-01T08:14:50Z,3,1,2892,
,2009-07-01T08:15:28Z,7,5,851,
,2009-07-10T08:00:18Z,20,21,12479,
,2009-08-06T08:00:20Z,10,17,29109,
,2009-08-06T08:06:50Z,22,19,61977,
,2009-08-29T08:00:17Z,589,849,24504,
,2009-09-07T08:00:23Z,1,1,20,
,2009-09-07T08:00:40Z,20,28,31859,
,2009-09-07T08:03:01Z,4,3,537,
,2009-09-07T08:03:51Z,6,13,156,
,2009-09-18T08:00:17Z,2064,3567,19448,
,2009-09-26T08:00:19Z,254,458,84737,
,2009-09-30T08:00:10Z,112,69,63301,
,2009-10-31T08:00:10Z,420,527,66909,
,2009-11-30T09:00:10Z,5,1,64941,
,2009-11-30T09:00:10Z,4,1,1982,
,2009-11-30T09:00:10Z,5,2,2519,
,2009-11-30T09:00:10Z,11,16,73321,
,2009-12-11T09:00:14Z,10,10,1816,
,2009-12-11T09:00:14Z,691,1145,16373,
,2009-12-11T09:00:14Z,4,1,12287,
,2009-12-31T09:00:10Z,68,195,215298,
,2010-04-22T02:00:34Z,3,6,13488,
,2010-05-26T23:38:07Z,510,982,141805,
,2010-05-26T23:38:07Z,4,4,292,
,2010-05-26T23:38:07Z,2,5,402,
,2010-05-26T23:38:07Z,9,10,12546,
,2010-05-26T23:38:08Z,3,2,4235,
,2010-05-26T23:38:08Z,17,25,180909,
,2010-05-26T23:38:08Z,79,82,9764,
,2010-05-26T23:38:08Z,8,13,3382,
,2010-05-26T23:38:08Z,4,3,138,
,2010-05-26T23:38:08Z,19,23,57816,
,2010-05-26T23:38:08Z,6,9,848,
,2010-05-26T23:38:08Z,4,3,348,
,2010-07-29T23:31:00Z,22,78,14089,
,2010-08-12T03:32:40Z,9,5,9646,
,2010-08-12T03:32:41Z,5,7,3119,
,2010-08-12T03:32:41Z,19,29,15407,
,2010-08-12T03:32:41Z,307,299,54958,
,2010-08-12T03:32:41Z,7,8,19114,
,2010-08-12T03:32:41Z,2,2,400,
,2010-08-12T03:32:41Z,61,96,9902,
,2010-08-12T03:32:41Z,215,139,12327,
,2010-08-12T03:32:41Z,200,213,38458,
,2010-08-25T07:00:06Z,72,106,62617,
,2010-09-04T07:00:06Z,3,18,8521,
,2010-09-04T07:00:07Z,2,4,2370,
